Nationality,cards,players,player_examples
United States,165,73,"Aleksandar Kovacevic, Alex Michelsen, Alycia Parks, Amanda Anisimova, Andre Agassi"
Russia,53,18,"Anastasia Pavlyuchenkova, Andrey Rublev, Andrey Rublev/Daniil Medvedev, Anna Blinkova, Anna Kalinskaya"
France,45,31,"Alexandre Muller, Antoine Escoffier, Arthur Cazaux, Arthur Fils, Arthur Rinderknech"
Italy,35,17,"Andrea Pellegrino, Andrea Vavassori, Elisabetta Cocciaretto, Fabio Fognini, Flavio Cobolli"
Spain,34,14,"Albert Ramos-Viñolas, Carlos Alcaraz, Carlos Costa, Daniel Rincon, Garbiñe Muguruza"
Czech Republic,27,13,"Adam Pavlasek, Barbora Krejcikova, Brenda Fruhvirtova, Dalibor Svrcina, Jakub Mensik"
Australia,26,14,"Ajla Tomljanovic, Ajla Tomljanović, Alex de Minaur, Alexei Popyrin, Christopher O'Connell"
United Kingdom,23,9,"Andy Murray, Cameron Norrie, Emma Raducanu, Harriet Dart, Harry Wendelken"
China,21,11,"Juncheng Shang, Lin Zhu, Qinwen Zheng, Qinwen Zheng/Xinyu Wang, Saisai Zheng"
Argentina,20,14,"Andrea Collarini, Facundo Bagnis, Francisco Cerundolo, Juan Manuel Cerundolo, Juan Pablo Ficovich"
Poland,20,5,"Hubert Hurkacz, Iga Swiatek, Magda Linette, Magdalena Frech, Maja Chwalinska"
Germany,18,10,"Alexander Zverev, Boris Becker, Boris Becker/Bjorn Borg, Dominik Koepfer, Jan-Lennard Struff"
Kazakhstan,18,7,"Alexander Bublik, Alexander Shevchenko, Denis Yevseyev, Elena Rybakina, Mikhail Kukushkin"
Canada,16,9,"Alexis Galarneau, Bianca Andreescu, Denis Shapovalov, Felix Auger-Aliassime, Gabriel Diallo"
Serbia,13,6,"Dusan Lajovic, Filip Krajinovic, Hamad Medjedovic, Laslo Djere, Miomir Kecmanovic"
Greece,12,3,"Maria Sakkari, Stefanos Tsitsipas, Stefanos Tsitsipas/Paula Badosa"
Switzerland,12,9,"Alexander Ritschard, Belinda Bencic, Celine Naef, Jil Teichmann, Kilian Feldbausch"
Belarus,11,3,"Aryna Sabalenka, Ilya Ivashka, Victoria Azarenka"
Japan,10,5,"Kei Nishikori, Naomi Osaka, Shintaro Mochizuki, Taro Daniel, Yoshihito Nishioka"
Ukraine,10,4,"Elina Svitolina, Illya Marchenko, Lesia Tsurenko, Marta Kostyuk"
Belgium,7,5,"Kimberley Zimmermann, Kirsten Flipkens, Marie Benoit, Raphael Collignon, Zizou Bergs"
Denmark,7,2,"Caroline Wozniacki, Holger Rune"
Norway,7,1,Casper Ruud
Brazil,6,2,"Beatriz Haddad Maia, Thiago Monteiro"
Colombia,6,3,"Camila Osorio, Emiliana Arango, Nicolas Mejia"
Hungary,6,5,"Dalma Galfi, Fabian Marozsan, Luca Udvardy, Marton Fucsovics, Panna Udvardy"
Portugal,6,2,"Jaime Faria, Nuno Borges"
Croatia,5,4,"Borna Coric, Donna Vekic, Marin Cilic, Tara Wuerth"
Sweden,5,5,"Boris Becker/Bjorn Borg, Elias Ymer, Mirjam Bjorklund, Rebecca Peterson, Stefan Edberg"
Armenia,4,1,Elina Avanesyan
Netherlands,4,3,"Gijs Brouwer, Jesper de Jong, Tallon Griekspoor"
Bulgaria,3,2,"Dimitar Kuzmanov, Grigor Dimitrov"
Chile,3,2,"Alejandro Tabilo, Cristian Garin"
Finland,3,2,"Emil Ruusuvuori, Otto Virtanen"
Latvia,3,1,Jelena Ostapenko
Romania,3,2,"Irina-Camelia Begu, Jaqueline Cristian"
Austria,2,2,"Lukas Neumayer, Sebastian Ofner"
Bosnia and Herzegovina,2,2,"Damir Dzumhur, Nerman Fatic"
Hong Kong,2,1,Coleman Wong
Jordan,2,1,Abdullah Shelbayh
Philippines,2,1,Alexandra Eala
Slovakia,2,2,"Alex Molcan, Daniela Hantuchova"
Turkey,2,2,"Altug Celikbilek, Cem Ilkel"
Andorra,1,1,Victoria Jimenez Kasintseva
Bolivia,1,1,Hugo Dellien
Cote d'Ivoire,1,1,Eliakim Coulibaly
Ecuador,1,1,Emilio Gomez
Egypt,1,1,Mayar Sherif
India,1,1,Sumit Nagal
Indonesia,1,1,Priska Nugroho
Mexico,1,1,Fernanda Contreras
Moldova,1,1,Radu Albot
Monaco,1,1,Valentin Vacherot
Peru,1,1,JUAN PABLO Varillas
Puerto Rico,1,1,Monica Puig
Slovenia,1,1,Tamara Zidansek
South Africa,1,1,Lloyd Harris
Taiwan,1,1,Chun-Hsin Tseng
Tunisia,1,1,Ons Jabeur
