Player,nationalities,n_nationalities
Abdullah Shelbayh,Jordan,1
Adam Pavlasek,Czech Republic,1
Ajla Tomljanovic,Australia,1
Ajla Tomljanović,Australia,1
Albert Ramos-Viñolas,Spain,1
Alejandro Tabilo,Chile,1
Aleksandar Kovacevic,United States,1
Alex Michelsen,United States,1
Alex Molcan,Slovakia,1
Alex de Minaur,Australia,1
Alexander Bublik,Kazakhstan,1
Alexander Ritschard,Switzerland,1
Alexander Shevchenko,Kazakhstan,1
Alexander Zverev,Germany,1
Alexandra Eala,Philippines,1
Alexandre Muller,France,1
Alexei Popyrin,Australia,1
Alexis Galarneau,Canada,1
Altug Celikbilek,Turkey,1
Alycia Parks,United States,1
Amanda Anisimova,United States,1
Anastasia Pavlyuchenkova,Russia,1
Andre Agassi,United States,1
Andrea Collarini,Argentina,1
Andrea Pellegrino,Italy,1
Andrea Vavassori,Italy,1
Andrey Rublev,Russia,1
Andy Murray,United Kingdom,1
Andy Roddick,United States,1
Ann Li,United States,1
Anna Blinkova,Russia,1
Anna Kalinskaya,Russia,1
Antoine Escoffier,France,1
Arthur Cazaux,France,1
Arthur Fils,France,1
Arthur Rinderknech,France,1
Aryna Sabalenka,Belarus,1
Ashlyn Krueger,United States,1
Barbora Krejcikova,Czech Republic,1
Beatriz Haddad Maia,Brazil,1
Belinda Bencic,Switzerland,1
Ben Shelton,United States,1
Benoit Paire,France,1
Bethanie Mattek-Sands,United States,1
Bianca Andreescu,Canada,1
Billie Jean King,United States,1
Bjorn Fratangelo,United States,1
Boris Becker,Germany,1
Borna Coric,Croatia,1
Brandon Nakashima,United States,1
Brenda Fruhvirtova,Czech Republic,1
Cameron Norrie,United Kingdom,1
Camila Osorio,Colombia,1
Carel Ngounoue,United States,1
Carlos Alcaraz,Spain,1
Carlos Costa,Spain,1
Caroline Garcia,France,1
Caroline Wozniacki,Denmark,1
Casper Ruud,Norway,1
Celine Naef,Switzerland,1
Cem Ilkel,Turkey,1
Chloe Paquet,France,1
Chris Eubanks,United States,1
Christopher O'Connell,Australia,1
Chun-Hsin Tseng,Taiwan,1
Claire Liu,United States,1
Clara Burel,France,1
Clement Chidekh,France,1
Clervie Ngounoue,United States,1
Coco Gauff,United States,1
Coleman Wong,Hong Kong,1
Constant Lestienne,France,1
Cooper Woestendick,United States,1
Corentin Moutet,France,1
Cristian Garin,Chile,1
Dalibor Svrcina,Czech Republic,1
Dalma Galfi,Hungary,1
Damir Dzumhur,Bosnia and Herzegovina,1
Daniel Rincon,Spain,1
Daniela Hantuchova,Slovakia,1
Danielle Collins,United States,1
Daniil Medvedev,Russia,1
Daria Kasatkina,Russia,1
Denis Kudla,United States,1
Denis Shapovalov,Canada,1
Denis Yevseyev,Kazakhstan,1
Diana Shnaider,Russia,1
Diane Parry,France,1
Dimitar Kuzmanov,Bulgaria,1
Dominik Koepfer,Germany,1
Donna Vekic,Croatia,1
Dusan Lajovic,Serbia,1
Ekaterina Alexandrova,Russia,1
Elena Rybakina,Kazakhstan,1
Eliakim Coulibaly,Cote d'Ivoire,1
Elias Ymer,Sweden,1
Elina Avanesyan,Armenia,1
Elina Svitolina,Ukraine,1
Elisabetta Cocciaretto,Italy,1
Elsa Jacquemot,France,1
Emil Ruusuvuori,Finland,1
